region,city_name,city_name_jpn,slogan
Hoenn,Pacifidlog Town,キナギタウ,Where the morning sun smiles upon the waters.
Hoenn,Ever Grande City,サイユウシティ,"The paradise of flowers, the sea, and Pokémon"
Sinnoh,Twinleaf Town,フタバタウン,Fresh and Free!
Sinnoh,Sandgem Town,マサゴタウン,Town of Sand!
Sinnoh,Jubilife City,コトブキシティ,City of Joy
Sinnoh,Oreburgh City,クロガネシティ,City of Energy
Sinnoh,Floaroma Town,ソノオタウン,Vivid & Scented
Sinnoh,Eterna City,ハクタイシティ,History Living
Sinnoh,Hearthome City,ヨスガシティ,Warm & Kind
Sinnoh,Solaceon Town,ズイタウン,Free of Worry!
Sinnoh,Veilstone City,トバリシティ,Hewn from Rock
Sinnoh,Pastoria City,ノモセシティ,The Marsh City
Sinnoh,Celestic Town,カンナギタウン,The Past Lives
Sinnoh,Canalave City,ミオシティ,Cargo Port
Sinnoh,Snowpoint City,キッサキシティ,City of Snow
Sinnoh,Sunyshore City,ナギサシティ,Solar Powered!
Sinnoh,Pokémon League,ポケモンリーグ,The Pinnacle of Trainerdom!
Battle Zone,Fight Area,ファイトエリア,Battles Galore
Battle Zone,Survival Area,サバイバルエリア,Staging Point
Battle Zone,Resort Area,リゾートエリア,Relax & Play!
Unova,Nuvema Town,カノコタウン,The Start of Something Big
Unova,Accumula Town,カラクサタウン,The Fast-Growing Town!
Unova,Striaton City,サンヨウシティ,Three Stand Together as One!
Unova,Nacrene City,シッポウシティ,A Pearl of a Place
Unova,Castelia City,ヒウンシティ,A City of Grandeur
Unova,Nimbasa City,ライモンシティ,Lit by the Flash of Lightning!
Unova,Anville Town,カナワタウン,Rolling Out the Steel Rails
Unova,Driftveil City,ホドモエシティ,A City of Billowing Sails
Unova,Mistralton City,フキヨセシティ,Strewn with Windblown Leaves
Unova,Icirrus City,セッカシティ,Sky Glittering with Flowers of Snow
Unova,Opelucid City,ソウリュウシティ,Time's Dividing Line
Unova,Pokémon League,ポケモンリーグ,The Pokémon League is every Trainer's greatest challenge!
Unova,Lacunosa Town,カゴメタウン,Methodical and Orderly
Unova,Undella Town,サザナミタウン,A Town of Rippling Waves
Unova,Black City,ブラックシティ,Prosperous and Vibrant
Unova,White Forest,ホワイトフォレスト,People and Nature in Harmony
Unova,Aspertia City,ヒオウギシティ,Blackberry Lily City
Unova,Virbank City,タチワキシティ	,
Kalos,Vaniville Town,アサメタウン,A town whose flower is about to bloom.
Kalos,Aquacorde Town,メイスイタウン,Water and civilization in harmony.
Kalos,Santalune City,ハクダンシティ,A traditional city.
Kalos,Lumiose City,ミアレシティ,The City of Light.
Kalos,Camphrier Town,コボクタウン,A town where you can taste the ages.
Kalos,Ambrette Town,コウジンタウン,Where amber dust dances.
Kalos,Cyllage City,ショウヨウシティ,The city of peaceful strolls.
Kalos,Geosenge Town,セキタイタウン,Quiet stones speak volumes.
Kalos,Shalour City,シャラシティ,A city of awakening.
Kalos,Coumarine City,ヒヨクシティ,The city where bay and butte are bound.
Kalos,Laverre City,クノエシティ,The city of otherworldly dreams.
Kalos,Dendemille Town,フウジョタウン,A town where fluff dances on the wind.
Kalos,Anistar City,ヒャッコクシティ,The starry city marking the hours.
Kalos,Couriway Town,レンリタウン,A town connecting differences.
Kalos,Snowbelle City,エイセツシティ,The city of everlasting winter.
Kalos,Kiloude City,キナンシティ,"A kind, sweet, and exquisite city."
Alola,Iki Town,リリィタウン,The place where we give thanks to Pokémon.
Alola,Hau'oli City,ハウオリシティ,A city overflowing with gentle joy.
Alola,Heahea City,カンタイシティ,A town that always welcomes visitors.
Alola,Paniola Town,カンタイシティ,The place we built with our Pokémon.
Alola,Royal Avenue,ロイヤルアベニュ,The holy ground for Battle Royal enthusiasts.
Alola,Konikoni City,カプの村,A town that welcomes the sea breeze.
Alola,Malie City,マリエシティ,Enjoy the enticing Eastern influence.
Alola,Tapu Village,カプの村,
Alola,Po Town,ポータウン,You're in Team Skull Territory Now!
Alola,Seafolk Village,海の民の村	,
Galar,Postwick,ハロンタウン,"A farming town since days of old, where people and their Pokémon live in close harmony."
Galar,Wedgehurst,ブラッシータウン,Our quiet borough is home to the esteemed Pokémon Research Lab.
Galar,Motostoke,エンジンシティ,An industrial city studded with steam-powered marvels of modern engineering.
Galar,Turffield,ターフタウン,A town nestled within the nurturing bowl of our many terraced farming fields.
Galar,Hulbury,バウタウン,A bustling seaport that many visit to see its lively market stalls and famed restaurant!
Galar,Hammerlocke,ナックルシティ,"A city of great history, living and thriving within castle walls that date back to the Middle Ages."
Galar,Stow-on-Side,ラテラルタウン,A vibrant town that has grown up around an ancient mural tucked away in the mountains.
Galar,Ballonlea,アラベスクタウン,A charming town where the people make their homes among the trunks of the towering trees.
Galar,Circhester,キルクスタウン,Buildings from an age long gone still stand about the steaming hot spring that covers the town.
Galar,Spikemuth,スパイクタウン,This rocking town has a punk vibe and streets crammed with shops lined up cheek by jowl.
Galar,Wyndon,シュートシティ,This booming metropolis was designed and developed by our very own Chairman Rose.
Galar,Freezington,フリーズ村,
,,,
